ID,Organism,Strain,Molecule product,DB xref,location
MH556991.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KJ866108.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
JX513247.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Thailand
PQ658397.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
PQ658399.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
KR055556.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
KR055558.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
ON461763.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
FJ656124.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
ON461775.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
PQ658400.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
KR055561.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
ON553962.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KJ768646.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Ghana
ON461780.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
ON461766.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
MH557002.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
ON461764.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
MH557019.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658412.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
DQ415905.1,Human coronavirus HKU1,N7,N/A,taxon:290028,China: Hong Kong
PQ187617.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Singapore
MH557013.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
DQ437616.1,Human coronavirus HKU1,N21,N/A,taxon:290028,Hong Kong
PQ658390.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
FJ656130.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
MH556998.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KR055560.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
PQ658403.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
EF507769.1,Human coronavirus HKU1,Caen415,N/A,taxon:290028,N/A
ON136170.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
DQ437607.1,Human coronavirus HKU1,N11,N/A,taxon:290028,Hong Kong
DQ415909.1,Human coronavirus HKU1,N13,N/A,taxon:290028,China: Hong Kong
FJ656116.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
KY674941.1,Human coronavirus HKU1,N09-1663B,N/A,taxon:290028,USA
LC817381.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
KJ866110.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
KY674943.1,Human coronavirus HKU1,N09-1605B,N/A,taxon:290028,USA
PQ683739.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Russia: Saint Petersburg
KJ866119.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
KJ866111.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
ON128615.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
MH557021.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KJ768645.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Ghana
DQ437615.1,Human coronavirus HKU1,N20,N/A,taxon:290028,Hong Kong
KJ866125.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
OL770285.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Australia
ON136173.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
KR055563.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
KF686346.1,Human coronavirus HKU1,HKU1/human/USA/HKU1-12/2010,N/A,taxon:290028,"USA: Denver, CO"
ON461767.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
KT779555.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
JN234466.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
OK073086.1,Human coronavirus HKU1,H78,N/A,taxon:290028,China
PQ658404.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
ON553964.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ187619.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Singapore
PV685452.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
PQ683737.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Russia: Saint Petersburg
ON461755.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
EF507770.1,Human coronavirus HKU1,Caen517,N/A,taxon:290028,N/A
OR260091.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Netherlands
PV685467.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
KJ866114.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
MH557014.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
JN234475.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
DQ437619.1,Human coronavirus HKU1,N24,N/A,taxon:290028,Hong Kong
KF430201.1,Human coronavirus HKU1,HKU1/human/USA/HKU1-18/2010,N/A,taxon:290028,"USA: Denver, CO"
EF507772.1,Human coronavirus HKU1,Caen539,N/A,taxon:290028,N/A
JN234472.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
ON461773.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
MH557018.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658387.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
MH556997.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658405.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
MH557011.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
JN234469.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
PQ658415.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
DQ415906.1,Human coronavirus HKU1,N9,N/A,taxon:290028,China: Hong Kong
MH557006.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
JX513246.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Thailand
PV685468.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
MH556999.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658408.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
KF430203.1,Human coronavirus HKU1,HKU1/HTBEC_lab/BRA/HKU1-23/2006,N/A,taxon:290028,Brazil
KR055575.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
KJ866107.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
ON136171.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
KF686343.1,Human coronavirus HKU1,HKU1/human/USA/HKU1-13/2010,N/A,taxon:290028,"USA: Denver, CO"
FJ656118.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
MH940245.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Thailand
DQ437618.1,Human coronavirus HKU1,N23,N/A,taxon:290028,Hong Kong
EF507773.1,Human coronavirus HKU1,Caen542,N/A,taxon:290028,N/A
FJ656122.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
MK167038.1,Human coronavirus HKU1,SC2521,N/A,taxon:290028,USA
KR055566.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
ON461776.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
OL770286.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Australia
KR607991.1,Human coronavirus HKU1,China/Beijing/2009/s44,N/A,taxon:290028,China
DQ415912.1,Human coronavirus HKU1,N16,N/A,taxon:290028,China: Hong Kong
ON461778.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
KR607992.1,Human coronavirus HKU1,China/Beijing/2009/s45,N/A,taxon:290028,China
PQ187618.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Singapore
KJ866124.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
DQ339101.1,Human coronavirus HKU1,N5P8,N/A,taxon:290028,N/A
DQ437613.1,Human coronavirus HKU1,N18,N/A,taxon:290028,Hong Kong
MH557012.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
DQ415911.1,Human coronavirus HKU1,N15,N/A,taxon:290028,China: Hong Kong
PQ683738.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Russia: Saint Petersburg
JN234465.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
PQ658406.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
Q0ZME7.1,Human coronavirus HKU1 (isolate N5),N/A,N/A,taxon:443241,N/A
KF686340.1,Human coronavirus HKU1,HKU1/human/USA/HKU1-5/2009,N/A,taxon:290028,"USA: Denver, CO"
PQ658414.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
DQ415914.1,Human coronavirus HKU1,N18,N/A,taxon:290028,China: Hong Kong
ON461772.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
ON461768.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
KR055554.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
JN234470.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
DQ437611.1,Human coronavirus HKU1,N16,N/A,taxon:290028,Hong Kong
PV685460.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
LC654449.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
HM034837.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,France
MH557016.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PV685464.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
ON136172.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
KJ866118.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
MH556992.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
JN234471.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
FJ656126.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
DQ415913.1,Human coronavirus HKU1,N17,N/A,taxon:290028,China: Hong Kong
KY983584.1,Human coronavirus HKU1,SC2628,N/A,taxon:290028,USA
JN234476.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
EF507777.1,Human coronavirus HKU1,Caen899,N/A,taxon:290028,N/A
DQ415907.1,Human coronavirus HKU1,N10,N/A,taxon:290028,China: Hong Kong
PQ658394.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
ON461777.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
DQ415899.1,Human coronavirus HKU1,N22,N/A,taxon:290028,China: Hong Kong
ON461756.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
FJ656132.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
DQ415896.1,Human coronavirus HKU1,N19,N/A,taxon:290028,China: Hong Kong
ON136168.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
MH557020.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
DQ415898.1,Human coronavirus HKU1,N21,N/A,taxon:290028,China: Hong Kong
ON461765.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
LC543626.1,Human coronavirus HKU1,TW-ID193-2013,N/A,taxon:290028,Taiwan
NC_006577.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,N/A
PQ037249.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: Maryland
PV685450.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
DQ437610.1,Human coronavirus HKU1,N15,N/A,taxon:290028,Hong Kong
PQ658398.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
KJ866120.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
LC654447.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
LC654448.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
KF430197.1,Human coronavirus HKU1,HKU1/HTBEC_lab/BRA/HKU1-22/2007,N/A,taxon:290028,Brazil
DQ415900.1,Human coronavirus HKU1,N23,N/A,taxon:290028,China: Hong Kong
DQ131645.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,France
KR055574.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
KR055568.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
PV685453.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
KJ866123.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
KJ866116.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
KR607993.1,Human coronavirus HKU1,China/Beijing/2009/s43,N/A,taxon:290028,China
MH557009.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658401.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
KF430198.1,Human coronavirus HKU1,HKU1/HTBEC_lab/BRA/HKU1-21/2006,N/A,taxon:290028,Brazil
MH557001.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PV685463.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
PQ658402.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
ON128610.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
DQ437617.1,Human coronavirus HKU1,N22,N/A,taxon:290028,Hong Kong
PQ658411.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
JN234468.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
KJ866122.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
ON729317.1,Human coronavirus HKU1,SC770,N/A,taxon:290028,USA
FJ656120.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
JN234474.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
PQ658407.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
AY597011.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,N/A
DQ415901.1,Human coronavirus HKU1,N24,N/A,taxon:290028,China: Hong Kong
PQ658381.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
LC817380.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
KR055567.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
FJ656133.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
DQ437612.1,Human coronavirus HKU1,N17,N/A,taxon:290028,Hong Kong
MH557008.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
FJ656128.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
ON461774.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
ON461759.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
PQ037248.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: Maryland
ON553963.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
MN488637.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Netherlands
JN234477.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
PQ683736.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Russia: Saint Petersburg
DQ131642.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,France
PV685454.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
EF507774.1,Human coronavirus HKU1,Caen555,N/A,taxon:290028,N/A
MH556994.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658385.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
LC315651.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Tokyo
PQ658391.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
KF686344.1,Human coronavirus HKU1,HKU1/human/USA/HKU1-15/2009,N/A,taxon:290028,"USA: Denver, CO"
PQ658382.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
MH557015.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658395.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
ON461771.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
DQ131644.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,France
PV685459.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
DQ437614.1,Human coronavirus HKU1,N19,N/A,taxon:290028,Hong Kong
KR055569.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
LC817378.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
PQ658386.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
DQ437609.1,Human coronavirus HKU1,N14,N/A,taxon:290028,Hong Kong
KR055571.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
ON553961.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KJ866115.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
FJ656123.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
OK073085.1,Human coronavirus HKU1,R63,N/A,taxon:290028,China
LC817377.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
KR607994.1,Human coronavirus HKU1,China/Beijing/2009/s41,N/A,taxon:290028,China
ON461770.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
PV685456.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
KR055565.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
MH557010.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658389.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
MW587043.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KJ866117.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
MH557023.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
ON128614.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KF686341.1,Human coronavirus HKU1,HKU1/human/USA/HKU1-10/2010,N/A,taxon:290028,"USA: Denver, CO"
FJ656127.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
FJ656131.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
LC687393.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
KF686342.1,Human coronavirus HKU1,HKU1/human/USA/HKU1-11/2009,N/A,taxon:290028,"USA: Denver, CO"
ON128609.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
MT492207.1,Human coronavirus HKU1,COVhku1S/jiangxi2855/2018,N/A,taxon:290028,China: Jiangxi
AY884001.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,N/A
PV685462.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
MH556995.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
ON128612.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KJ866112.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
JN234467.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
PV685461.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
KT779556.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
EF507771.1,Human coronavirus HKU1,Caen538,N/A,taxon:290028,N/A
MH557024.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KR055562.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
ON136169.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
PQ658396.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
ON461769.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
MH557005.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
DQ415910.1,Human coronavirus HKU1,N14,N/A,taxon:290028,China: Hong Kong
KY674942.1,Human coronavirus HKU1,N09-1627B,N/A,taxon:290028,USA
DQ415902.1,Human coronavirus HKU1,N25,N/A,taxon:290028,China: Hong Kong
ON461760.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
Q5MQD0.1,Human coronavirus HKU1 (isolate N1),N/A,N/A,taxon:443239,N/A
LC315650.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Tokyo
EF507776.1,Human coronavirus HKU1,Caen703,N/A,taxon:290028,N/A
PV685451.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
DQ437608.1,Human coronavirus HKU1,N13,N/A,taxon:290028,Hong Kong
PV685455.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
KR055573.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
MH557017.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PV685458.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
KY674921.1,Human coronavirus HKU1,N08-87,N/A,taxon:290028,USA
PQ658383.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
MH557004.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
MT492206.1,Human coronavirus HKU1,COVhku1S/jiangxi2861/2018,N/A,taxon:290028,China: Jiangxi
ON461761.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
ON128616.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ037250.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: Maryland
KR055557.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
LC817375.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
KR055555.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
KR055572.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
DQ415903.1,Human coronavirus HKU1,N3,N/A,taxon:290028,China: Hong Kong
PV685465.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
PQ658410.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
KJ866109.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
FJ656121.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
PV685457.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
MH556996.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
EF507775.1,Human coronavirus HKU1,Caen677,N/A,taxon:290028,N/A
KR055570.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
PQ658393.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
FJ656117.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
MH557022.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
KJ866113.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
MH557007.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
PQ658409.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
LC817376.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
Q14EB0.1,Human coronavirus HKU1 (isolate N2),N/A,N/A,taxon:443240,N/A
KJ768644.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Ghana
PV685466.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: WA
FJ656125.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
FJ656129.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
DQ415897.1,Human coronavirus HKU1,N20,N/A,taxon:290028,China: Hong Kong
OR266948.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Russia: Saint Petersburg
MH557000.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
ON461762.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
MH557003.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
JX513248.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Thailand
PQ658384.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
DQ415908.1,Human coronavirus HKU1,N11,N/A,taxon:290028,China: Hong Kong
MT492205.1,Human coronavirus HKU1,COVhku1S/jiangxi2863/2018,N/A,taxon:290028,China: Jiangxi
ON128613.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
ON461781.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
PQ658413.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
LC817379.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Japan: Fukushima
PQ658715.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: North Carolina
ON461757.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
PQ658388.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
FJ656115.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
DQ415904.1,Human coronavirus HKU1,N6,N/A,taxon:290028,China: Hong Kong
ON128611.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
FJ656119.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Sweden
MH556993.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,China
JN234473.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,South Korea
ON461779.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
KR055559.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
PQ658392.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,United Kingdom
PQ187620.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Tanzania
PV717797.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: Massachusetts
KJ866121.1,Human coronavirus HKU1,HKU1,N/A,taxon:290028,Thailand
KR055564.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,Malaysia
KR607990.1,Human coronavirus HKU1,China/Beijing/2009/s42,N/A,taxon:290028,China
PQ037251.1,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA: Maryland
ON461758.2,Human coronavirus HKU1,N/A,N/A,taxon:290028,USA
